id,long,lat
26SLH1,-29.010000,38.610000
26SLH3,-28.440000,38.610000
26SMH1,-27.860000,38.620000
26SMH3,-27.290000,38.620000
26SMJ2,-27.870000,39.070000
26SPF3,-25.040000,36.800000
26SPG1,-25.580000,37.710000
26SPG3,-25.010000,37.710000
26WPS1,-24.450000,64.680000
26WPT1,-24.420000,65.580000
27VVL1,-22.520000,63.790000
27VVL3,-21.510000,63.800000
27VWL1,-20.490000,63.800000
27VWL2,-20.500000,63.350000
27VWL3,-19.480000,63.790000
27VWL4,-19.500000,63.350000
27VXL1,-18.490000,63.780000
27VXL2,-18.500000,63.330000
27WUM3,-23.550000,64.680000
27WUN3,-23.580000,65.580000
27WUN4,-23.570000,65.130000
27WUP4,-23.600000,66.020000
27WVM1,-22.570000,64.690000
27WVM2,-22.550000,64.240000
27WVM3,-21.520000,64.700000
27WVM4,-21.520000,64.250000
27WVN1,-22.630000,65.590000
27WVN2,-22.600000,65.140000
27WVN3,-21.540000,65.600000
27WVN4,-21.530000,65.150000
27WVP1,-22.680000,66.490000
27WVP2,-22.660000,66.040000
27WVP4,-21.550000,66.040000
27WWM1,-20.480000,64.700000
27WWM2,-20.480000,64.250000
27WWM3,-19.430000,64.690000
27WWM4,-19.450000,64.240000
27WWN1,-20.460000,65.600000
27WWN2,-20.470000,65.150000
27WWN3,-19.370000,65.590000
27WWN4,-19.400000,65.140000
27WWP2,-20.450000,66.040000
27WWP4,-19.340000,66.040000
27WXM1,-18.450000,64.680000
27WXM2,-18.470000,64.230000
27WXN1,-18.420000,65.580000
27WXN2,-18.430000,65.130000
27WXP2,-18.400000,66.020000
28VCR3,-17.510000,63.780000
28VDR1,-16.520000,63.790000
28WCS3,-17.550000,64.680000
28WCS4,-17.530000,64.230000
28WCT3,-17.580000,65.580000
28WCT4,-17.570000,65.130000
28WCU4,-17.600000,66.020000
28WDS1,-16.570000,64.690000
28WDS2,-16.550000,64.240000
28WDS3,-15.520000,64.700000
28WDS4,-15.520000,64.250000
28WDT1,-16.630000,65.590000
28WDT2,-16.600000,65.140000
28WDT3,-15.540000,65.600000
28WDT4,-15.530000,65.150000
28WDU1,-16.680000,66.490000
28WDU2,-16.660000,66.040000
28WDU3,-15.560000,66.490000
28WDU4,-15.550000,66.040000
28WES1,-14.480000,64.700000
28WES2,-14.480000,64.250000
28WET1,-14.460000,65.600000
28WET2,-14.470000,65.150000
28WET3,-13.370000,65.590000
28WET4,-13.400000,65.140000
28WEU1,-14.440000,66.490000
28WEU2,-14.450000,66.040000
29SMC3,-9.290000,38.620000
29SMD3,-9.290000,39.520000
29SMD4,-9.290000,39.070000
29SNA3,-8.160000,36.820000
29SNB1,-8.720000,37.720000
29SNB2,-8.720000,37.270000
29SNB3,-8.150000,37.720000
29SNB4,-8.150000,37.270000
29SNC1,-8.710000,38.620000
29SNC2,-8.710000,38.170000
29SNC3,-8.140000,38.620000
29SNC4,-8.140000,38.170000
29SND1,-8.710000,39.520000
29SND2,-8.710000,39.070000
29SND3,-8.130000,39.520000
29SND4,-8.130000,39.070000
29SNE2,-8.710000,39.970000
29SNE4,-8.120000,39.970000
29SPB1,-7.580000,37.710000
29SPB2,-7.590000,37.260000
29SPB3,-7.010000,37.710000
29SPB4,-7.030000,37.260000
29SPC1,-7.560000,38.610000
29SPC2,-7.570000,38.160000
29SPC3,-6.990000,38.610000
29SPC4,-7.000000,38.160000
29SPD1,-7.550000,39.520000
29SPD2,-7.560000,39.070000
29SPD3,-6.960000,39.510000
29SPD4,-6.980000,39.060000
29SPE2,-7.540000,39.970000
29SPE4,-6.950000,39.960000
29SQA1,-6.480000,36.790000
29SQA2,-6.490000,36.340000
29SQB1,-6.370000,37.690000
29SQB2,-6.460000,37.240000
29SQC1,-6.350000,38.590000
29SQC2,-6.360000,38.140000
29SQD1,-6.340000,39.490000
29SQD2,-6.340000,39.040000
29SQE2,-6.330000,39.940000
29TMH3,-9.310000,43.130000
29TMH4,-9.310000,42.680000
29TNE1,-8.710000,40.430000
29TNE3,-8.120000,40.420000
29TNF1,-8.700000,41.330000
29TNF2,-8.700000,40.880000
29TNF3,-8.100000,41.320000
29TNF4,-8.110000,40.870000
29TNG1,-8.700000,42.230000
29TNG2,-8.700000,41.780000
29TNG3,-8.090000,42.220000
29TNG4,-8.100000,41.770000
29TNH1,-8.690000,43.130000
29TNH2,-8.690000,42.680000
29TNH3,-8.080000,43.120000
29TNH4,-8.080000,42.670000
29TNJ4,-8.070000,43.570000
29TPE1,-7.530000,40.420000
29TPE3,-6.940000,40.410000
29TPF1,-7.510000,41.320000
29TPF2,-7.520000,40.870000
29TPF3,-6.910000,41.310000
29TPF4,-6.920000,40.860000
29TPG1,-7.490000,42.220000
29TPG2,-7.500000,41.770000
29TPG3,-6.880000,42.210000
29TPG4,-6.890000,41.760000
29TPH1,-7.460000,43.120000
29TPH2,-7.470000,42.670000
29TPH3,-6.850000,43.110000
29TPH4,-6.860000,42.660000
29TPJ2,-7.450000,43.570000
29TPJ4,-6.830000,43.560000
29TQE1,-6.320000,40.390000
29TQF1,-6.310000,41.290000
29TQF2,-6.310000,40.840000
29TQG1,-6.290000,42.200000
29TQG2,-6.300000,41.740000
29TQH1,-6.270000,43.100000
29TQH2,-6.280000,42.650000
29TQJ2,-6.260000,43.550000
29ULT3,-10.830000,52.110000
29UMA2,-10.150000,54.370000
29UMA4,-9.380000,54.370000
29UMT1,-10.100000,52.120000
29UMT2,-10.080000,51.670000
29UMT3,-9.370000,52.130000
29UMT4,-9.360000,51.680000
29UMU2,-10.110000,52.570000
29UMU3,-9.370000,53.020000
29UMU4,-9.370000,52.570000
29UMV1,-10.140000,53.920000
29UMV2,-10.130000,53.470000
29UMV3,-9.380000,53.920000
29UMV4,-9.380000,53.470000
29UNA1,-8.610000,54.820000
29UNA2,-8.620000,54.370000
29UNA3,-7.830000,54.820000
29UNA4,-7.850000,54.370000
29UNB2,-8.610000,55.270000
29UNB4,-7.820000,55.270000
29UNT1,-8.630000,52.130000
29UNT2,-8.640000,51.680000
29UNT3,-7.900000,52.120000
29UNT4,-7.920000,51.670000
29UNU1,-8.630000,53.020000
29UNU2,-8.630000,52.570000
29UNU3,-7.880000,53.020000
29UNU4,-7.890000,52.570000
29UNV1,-8.620000,53.920000
29UNV2,-8.620000,53.470000
29UNV3,-7.860000,53.920000
29UNV4,-7.870000,53.470000
29UPA1,-7.060000,54.810000
29UPA2,-7.080000,54.360000
29UPA3,-6.330000,54.790000
29UPA4,-6.350000,54.340000
29UPB2,-7.030000,55.260000
29UPB3,-6.310000,55.690000
29UPB4,-6.320000,55.240000
29UPR4,-6.570000,49.850000
29UPT1,-7.170000,52.110000
29UPT3,-6.400000,52.100000
29UPU1,-7.140000,53.010000
29UPU2,-7.160000,52.560000
29UPU3,-6.380000,53.000000
29UPU4,-6.390000,52.550000
29UPV1,-7.100000,53.910000
29UPV2,-7.120000,53.460000
29UPV3,-6.360000,53.890000
29UPV4,-6.370000,53.450000
29VNC3,-7.780000,56.610000
29VND3,-7.750000,57.510000
29VND4,-7.760000,57.060000
29VNE2,-8.580000,57.970000
29VNJ3,-7.570000,62.000000
29VNK4,-7.550000,62.450000
29VPC1,-6.960000,56.600000
29VPC3,-6.280000,56.590000
29VPC4,-6.290000,56.140000
29VPD1,-6.910000,57.500000
29VPD2,-6.940000,57.050000
29VPD3,-6.000000,57.480000
29VPD4,-6.000000,57.030000
29VPE1,-6.860000,58.400000
29VPE2,-6.890000,57.950000
29VPE3,-6.000000,58.380000
29VPE4,-6.000000,57.930000
29VPJ1,-6.550000,61.990000
29VPJ2,-6.560000,61.540000
29VPK2,-6.530000,62.430000
29WMU3,-9.690000,70.980000
29WNU1,-8.310000,70.980000
30STE3,-5.490000,35.890000
30STF3,-5.520000,36.790000
30STF4,-5.510000,36.340000
30STG3,-5.630000,37.690000
30STG4,-5.540000,37.240000
30STH3,-5.650000,38.590000
30STH4,-5.640000,38.140000
30STJ3,-5.660000,39.490000
30STJ4,-5.660000,39.040000
30STK4,-5.670000,39.940000
30SUF1,-4.960000,36.800000
30SUF2,-4.950000,36.350000
30SUF3,-4.400000,36.810000
30SUG1,-4.990000,37.710000
30SUG2,-4.970000,37.260000
30SUG3,-4.420000,37.710000
30SUG4,-4.410000,37.260000
30SUH1,-5.010000,38.610000
30SUH2,-5.000000,38.160000
30SUH3,-4.440000,38.610000
30SUH4,-4.430000,38.160000
30SUJ1,-5.040000,39.510000
30SUJ2,-5.020000,39.060000
30SUJ3,-4.450000,39.520000
30SUJ4,-4.440000,39.070000
30SUK2,-5.050000,39.960000
30SUK4,-4.460000,39.970000
30SVF1,-3.840000,36.820000
30SVF3,-3.280000,36.820000
30SVG1,-3.850000,37.720000
30SVG2,-3.850000,37.270000
30SVG3,-3.280000,37.720000
30SVG4,-3.280000,37.270000
30SVH1,-3.860000,38.620000
30SVH2,-3.860000,38.170000
30SVH3,-3.290000,38.620000
30SVH4,-3.290000,38.170000
30SVJ1,-3.870000,39.520000
30SVJ2,-3.870000,39.070000
30SVJ3,-3.290000,39.520000
30SVJ4,-3.290000,39.070000
30SVK2,-3.880000,39.970000
30SVK4,-3.290000,39.970000
30SWF1,-2.720000,36.820000
30SWF3,-2.160000,36.820000
30SWG1,-2.720000,37.720000
30SWG2,-2.720000,37.270000
30SWG3,-2.150000,37.720000
30SWG4,-2.150000,37.270000
30SWH1,-2.710000,38.620000
30SWH2,-2.710000,38.170000
30SWH3,-2.140000,38.620000
30SWH4,-2.140000,38.170000
30SWJ1,-2.710000,39.520000
30SWJ2,-2.710000,39.070000
30SWJ3,-2.130000,39.520000
30SWJ4,-2.130000,39.070000
30SWK2,-2.710000,39.970000
30SWK4,-2.120000,39.970000
30SXG1,-1.580000,37.710000
30SXG2,-1.590000,37.260000
30SXG3,-1.010000,37.710000
30SXH1,-1.560000,38.610000
30SXH2,-1.570000,38.160000
30SXH3,-0.990000,38.610000
30SXH4,-1.000000,38.160000
30SXJ1,-1.550000,39.520000
30SXJ2,-1.560000,39.070000
30SXJ3,-0.960000,39.510000
30SXJ4,-0.980000,39.060000
30SXK2,-1.540000,39.970000
30SXK4,-0.950000,39.960000
30SYH1,-0.350000,38.590000
30SYH2,-0.360000,38.140000
30SYJ1,-0.340000,39.490000
30SYJ2,-0.340000,39.040000
30SYK2,-0.330000,39.940000
30TTK3,-5.680000,40.390000
30TTL3,-5.690000,41.290000
30TTL4,-5.690000,40.840000
30TTM3,-5.710000,42.200000
30TTM4,-5.700000,41.740000
30TTN3,-5.730000,43.100000
30TTN4,-5.720000,42.650000
30TTP4,-5.740000,43.550000
30TUK1,-5.060000,40.410000
30TUK3,-4.470000,40.420000
