0.5698
17  r    conf  1.0
17  r  12  conf  0.9983
12  r  17  conf  0.9999
12  r    conf  1.0
17  r  18  conf  0.9968
18  r  17  conf  0.9999
17  r  18 12  conf  0.9963
12  r  18 17  conf  0.9967
18  r  12 17  conf  0.9982
12  r  18  conf  0.9968
18  r  12  conf  0.9983
18  r    conf  1.0
17  r  16  conf  0.9772
16  r  17  conf  0.9999
17  r  16 12  conf  0.9764
12  r  16 17  conf  0.9771
16  r  12 17  conf  0.9982
12  r  16  conf  0.9772
16  r  12  conf  0.9983
17  r  16 18  conf  0.9749
18  r  16 17  conf  0.9771
16  r  18 17  conf  0.9967
17  r  16 18 12  conf  0.9744
12  r  16 18 17  conf  0.9748
18  r  16 12 17  conf  0.9763
16  r  18 12 17  conf  0.9962
12  r  16 18  conf  0.9749
18  r  16 12  conf  0.9764
16  r  18 12  conf  0.9963
18  r  16  conf  0.9772
16  r  18  conf  0.9968
16  r    conf  1.0
17  r  31  conf  0.9348
31  r  17  conf  0.9999
17  r  31 12  conf  0.9334
12  r  31 17  conf  0.9348
31  r  12 17  conf  0.9982
12  r  31  conf  0.9348
31  r  12  conf  0.9983
17  r  31 18  conf  0.9322
18  r  31 17  conf  0.9348
31  r  18 17  conf  0.9967
17  r  31 18 12  conf  0.9317
12  r  31 18 17  conf  0.9321
18  r  31 12 17  conf  0.9334
31  r  18 12 17  conf  0.9962
12  r  31 18  conf  0.9322
18  r  31 12  conf  0.9334
31  r  18 12  conf  0.9963
18  r  31  conf  0.9348
31  r  18  conf  0.9968
17  r  31 16  conf  0.9178
16  r  31 17  conf  0.9348
31  r  16 17  conf  0.9771
17  r  31 16 12  conf  0.9172
12  r  31 16 17  conf  0.9177
16  r  31 12 17  conf  0.9334
31  r  16 12 17  conf  0.9763
12  r  31 16  conf  0.9178
16  r  31 12  conf  0.9334
31  r  16 12  conf  0.9764
17  r  31 16 18  conf  0.9159
18  r  31 16 17  conf  0.9177
16  r  31 18 17  conf  0.9321
31  r  16 18 17  conf  0.9748
17  r  31 16 18 12  conf  0.9155
12  r  31 16 18 17  conf  0.9158
18  r  31 16 12 17  conf  0.9171
16  r  31 18 12 17  conf  0.9317
31  r  16 18 12 17  conf  0.9744
12  r  31 16 18  conf  0.9159
18  r  31 16 12  conf  0.9172
